verdict	doc	line	kind	token	ref	note	context
FAILED	Proverbs/dig-deeper-proverbs-31-10to31.md	787	translit	zāmĕmâ	Prov 1:4	28 cand	**What it does not confirm is the design claim:** no commentary consulted connects the acrostic's zayin line to 1:4's promise, though a wordplay reference work does register *zāmĕmâ* as a feature of the acrostic `[S: Parks]`
WEAK	Proverbs/dig-deeper-proverbs-31-10to31.md	795	translit	ʾĒšet	Prov 12:4	81 cand	**Distribution counts.** *ʾĒšet ḥayil* (3× in the Hebrew Bible: Prov 12:4
WEAK	Proverbs/dig-deeper-proverbs-31-10to31.md	795	translit	ḥayil	Prov 12:4	14 cand	**Distribution counts.** *ʾĒšet ḥayil* (3× in the Hebrew Bible: Prov 12:4
WEAK	Proverbs/dig-deeper-proverbs-31-10to31.md	813	translit	mĕzimmâ	Prov 31:16	46 cand	now with a sourced distribution.** Neither the overview, the sweep, nor Ansberry connects 1:4's *mĕzimmâ* to 31:16's *zāmĕmâ*
WEAK	Proverbs/dig-deeper-proverbs-31-10to31.md	813	translit	zāmĕmâ	Prov 31:16	28 cand	now with a sourced distribution.** Neither the overview, the sweep, nor Ansberry connects 1:4's *mĕzimmâ* to 31:16's *zāmĕmâ*
WEAK	Proverbs/dig-deeper-proverbs-31-10to31.md	813	translit	ʿormâ	Gen 3:1	90 cand	The checking stage adds a fact that stands on its own regardless of the design claim: **within Proverbs the noun is positive throughout the frame and negative throughout the sentence collections.** That belongs in the overview's echo table as a book-spanning r
WEAK	Proverbs/dig-deeper-proverbs-31-10to31.md	813	translit	ʿormâ	Gen 1:1-7	90 cand	The checking stage adds a fact that stands on its own regardless of the design claim: **within Proverbs the noun is positive throughout the frame and negative throughout the sentence collections.** That belongs in the overview's echo table as a book-spanning r
WEAK	Proverbs/dig-deeper-proverbs-31-10to31.md	832	translit	ḥayil	Prov 31:3	14 cand	This is the first run in which that source was searchable rather than re-extracted, and it materially improved the checking stage: it supplied the untitled-discourse argument, the *ḥayil* occurrence at 31:3, the *marbaddîm* link to 7:16, the *ṭerep* lexeme, th
WEAK	Proverbs/dig-deeper-proverbs-31-10to31.md	832	translit	marbaddîm	Prov 7:16	133 cand	This is the first run in which that source was searchable rather than re-extracted, and it materially improved the checking stage: it supplied the untitled-discourse argument, the *ḥayil* occurrence at 31:3, the *marbaddîm* link to 7:16, the *ṭerep* lexeme, th
NEAR-MISS	Proverbs/dig-deeper-proverbs-31-10to31.md	832	translit	ṭerep	Prov 7:16	Prov 6:1	This is the first run in which that source was searchable rather than re-extracted, and it materially improved the checking stage: it supplied the untitled-discourse argument, the *ḥayil* occurrence at 31:3, the *marbaddîm* link to 7:16, the *ṭerep* lexeme, th
WEAK	Proverbs/dig-deeper-proverbs-31-10to31.md	837	translit	māṣāʾ	Prov 31:10	43 cand	Ansberry lists *māṣāʾ* at 31:10
WEAK	Proverbs/dig-deeper-proverbs-31-10to31.md	837	translit	pātaḥ	Prov 31:8-9	21 cand	the ***pātaḥ pî*** link at 31:8–9/26 (Headline 4)
WEAK	Proverbs/dig-deeper-proverbs-31-10to31.md	837	translit	tôrat	Prov 1:8	211 cand	the ***tôrat*** inclusio with 1:8
WEAK	Proverbs/dig-deeper-proverbs-31-10to31.md	837	translit	nĕʿārôt	Prov 9:3	181 cand	The ***nĕʿārôt*** link to 9:3 was reached in this session's work on chapter 9, before Ansberry was opened, and is corroborated by him.
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	89	translit	ʿārûm	Gen 3:1	109 cand	**The same root as the serpent's "crafty" (*ʿārûm*) in Gen 3:1.** See Unit 1
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	91	translit	lēṣ	Prov 9:7-8	53 cand	The *lēṣ* is the one Proverbs says cannot be taught (9:7–8
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	92	translit	yĕrāʾ	Prov 14:2	63 cand	`[T]` Related forms at 3:7 (imperative *yĕrāʾ ʾet-YHWH*), 14:2, 24:21 and **31:30**
FAILED	Proverbs/dig-deeper-proverbs-sweep.md	92	translit	ʾet	Prov 14:2	34 cand	`[T]` Related forms at 3:7 (imperative *yĕrāʾ ʾet-YHWH*), 14:2, 24:21 and **31:30**
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	101	translit	Yirʾat	Prov 1:7	91 cand	> **So the book's motto opens and closes the book in the same words.** *Yirʾat YHWH* at 1:7
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	101	translit	ʾiššâ	Prov 31:30	81 cand	*ʾiššâ yirʾat-YHWH* at 31:30
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	101	translit	yirʾat	Prov 31:30	91 cand	*ʾiššâ yirʾat-YHWH* at 31:30
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	101	translit	yirʾat	Prov 31:30	91 cand	Whether *yirʾat* at 31:30 is parsed as the noun in construct or the feminine adjective in construct
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	103	translit	yārēʾ	Prov 14:2	63 cand	the lemma *yārēʾ* + YHWH adds 14:2 and 31:30
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	103	translit	yārēʾ	Prov 31:30	63 cand	the lemma *yārēʾ* + YHWH adds 14:2 and 31:30
FAILED	Proverbs/dig-deeper-proverbs-sweep.md	307	translit	ʿormâ	Prov 1:7	90 cand	KJV's "to give subtilty to the simple" (v.4) actually preserves the *ʿormâ* nuance better than the modern "prudence." **Ancient versions check:** the LXX of 1:7 reads *archē sophias phobos theou*
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	307	translit	daʿat	Prov 9:10	37 cand	assimilating to 9:10, where the Hebrew of 1:7 has *knowledge* (*daʿat*)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	307	translit	daʿat	Prov 1:7	37 cand	assimilating to 9:10, where the Hebrew of 1:7 has *knowledge* (*daʿat*)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	622	translit	ḥesed	Prov 14:22	15 cand	- *Planted.* ***ḥesed weʾĕmet*** (v.3) → 14:22
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	622	translit	weʾĕmet	Prov 14:22	72 cand	- *Planted.* ***ḥesed weʾĕmet*** (v.3) → 14:22
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	674	translit	bāqaʿ	Gen 7:11	36 cand	the verb *bāqaʿ* is used of the flood's fountains bursting (Gen 7:11) and of the Red Sea being split (Exod 14:16)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	674	translit	bāqaʿ	Exod 14:16	36 cand	the verb *bāqaʿ* is used of the flood's fountains bursting (Gen 7:11) and of the Red Sea being split (Exod 14:16)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	909	translit	miṣwâ	Prov 1:8	75 cand	verbatim as 1:8 but with *miṣwâ* replacing *mûsār*, which sharpens the Deuteronomic register.
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	909	translit	mûsār	Prov 1:8	108 cand	verbatim as 1:8 but with *miṣwâ* replacing *mûsār*, which sharpens the Deuteronomic register.
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1024	translit	qānîtî	Gen 4:1	23 cand	as in Gen 4:1, where Eve says "I have *qānîtî* a man with the help of the LORD," and where the verb describes emergence rather than origination, conception being carried by a different verb in the same verse
NEAR-MISS	Proverbs/dig-deeper-proverbs-sweep.md	1024	translit	ḥôlaltî	Prov 4:5	Prov 3:2	`[S]` *Moderate confidence that (c) has the best contextual support here, because vv.24–25 twice use *ḥôlaltî*, "I was brought forth," which is birth language.* Note the internal argument: the same verb *qānâ* is what the son is commanded to do to wisdom in 4:
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1024	translit	qānâ	Prov 4:5	23 cand	`[S]` *Moderate confidence that (c) has the best contextual support here, because vv.24–25 twice use *ḥôlaltî*, "I was brought forth," which is birth language.* Note the internal argument: the same verb *qānâ* is what the son is commanded to do to wisdom in 4:
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1038	translit	qānâ	Prov 4:5	23 cand	> ### The *qānâ* link to 4:5, 7
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1040	translit	qānâ	Prov 8:22	23 cand	> I had asked whether any commentator connects the *qānâ* of 8:22 with the same verb in 4:5 and 4:7, where the son is commanded to **"get wisdom."** Three do, and one draws the theological conclusion.
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1040	translit	qānâ	Prov 4:5	23 cand	> I had asked whether any commentator connects the *qānâ* of 8:22 with the same verb in 4:5 and 4:7, where the son is commanded to **"get wisdom."** Three do, and one draws the theological conclusion.
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1040	translit	qānâ	Prov 4:7	23 cand	> I had asked whether any commentator connects the *qānâ* of 8:22 with the same verb in 4:5 and 4:7, where the son is commanded to **"get wisdom."** Three do, and one draws the theological conclusion.
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1043	translit	qānâ	Prov 4:5	23 cand	> - **Schwab**, most fully: "Often in Proverbs, humans are called to 'get/acquire [*qānâ*] wisdom' (e.g., 4:5, 7
NEAR-MISS	Proverbs/dig-deeper-proverbs-sweep.md	1050	translit	ḥôlaltî	Prov 8:22	Prov 8:24	> **A caution to keep.** Most modern critical exegetes still favour an origin sense at 8:22, chiefly on the strength of the birth language of *ḥôlaltî* in vv
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1150	translit	hōmiyyâ	Prov 7:11	41 cand	the description of Folly reuses "loud" (*hōmiyyâ*) from 7:11 ("she is loud and wayward"), which identifies Folly with the seductress of ch
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1159	translit	pethî	Prov 1:4	32 cand	The *pethî* of 1:4 is still the target at the end of the frame.
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1171	translit	ḥokmâ	Prov 1:7	15 cand	the motto returns at 9:10 with *ḥokmâ* where 1:7 had *daʿat*, and with a second line that is new: "and the knowledge of the Holy One is insight." The frame closes on the phrase it opened with, slightly enlarged
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1171	translit	daʿat	Prov 1:7	37 cand	the motto returns at 9:10 with *ḥokmâ* where 1:7 had *daʿat*, and with a second line that is new: "and the knowledge of the Holy One is insight." The frame closes on the phrase it opened with, slightly enlarged
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1347	translit	nišmat	Gen 2:7	103 cand	ESV footnote: Hebrew *breath* (*nišmat*), the word of Gen 2:7
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1370	translit	ḥesed	Prov 16:6	15 cand	*What it adds:* if 16:6's "by steadfast love and faithfulness iniquity is atoned for" is drawing on that formula, then the atoning agency is God's *ḥesed weʾĕmet* operating in the covenant relationship, not a human transaction
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1370	translit	weʾĕmet	Prov 16:6	72 cand	*What it adds:* if 16:6's "by steadfast love and faithfulness iniquity is atoned for" is drawing on that formula, then the atoning agency is God's *ḥesed weʾĕmet* operating in the covenant relationship, not a human transaction
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1386	translit	ḥesed	Exod 34:6	15 cand	The better readings: (a) God's *ḥesed weʾĕmet* is the ground of atonement (see the Exod 34:6 link)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1386	translit	weʾĕmet	Exod 34:6	72 cand	The better readings: (a) God's *ḥesed weʾĕmet* is the ground of atonement (see the Exod 34:6 link)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1397	translit	kəpoʿŏlô	Prov 24:12	49 cand	***kəpoʿŏlô*** used of God at 24:12 and forbidden to the reader at 24:29
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1397	translit	kəpoʿŏlô	Prov 24:29	49 cand	***kəpoʿŏlô*** used of God at 24:12 and forbidden to the reader at 24:29
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1433	translit	gōʾēl	Lev 25:25	31 cand	*gōʾēl*, the kinsman-redeemer: the relative obliged to buy back land, avenge blood, and marry a widow (Lev 25:25–55
NEAR-MISS	Proverbs/dig-deeper-proverbs-sweep.md	1457	translit	gōʾēl	Prov 23:10	Prov 23:11	23:10 adds the fatherless and the *gōʾēl*
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1497	translit	kābēd	Prov 25:2	66 cand	The solo run also adds material this sweep does not have: the *kābēd* Leitwort (nine occurrences, and the section's real subject), the four *petuchah* markers, the 25:2 ∥ 25:27 inclusio, the refining thread 25:4 → 26:23 → 27:21, and a Hebrew antithesis count o
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1497	translit	kābēd	Prov 25:27	66 cand	The solo run also adds material this sweep does not have: the *kābēd* Leitwort (nine occurrences, and the section's real subject), the four *petuchah* markers, the 25:2 ∥ 25:27 inclusio, the refining thread 25:4 → 26:23 → 27:21, and a Hebrew antithesis count o
NEAR-MISS	Proverbs/dig-deeper-proverbs-sweep.md	1497	translit	kābēd	Prov 25:4	Prov 25:2	The solo run also adds material this sweep does not have: the *kābēd* Leitwort (nine occurrences, and the section's real subject), the four *petuchah* markers, the 25:2 ∥ 25:27 inclusio, the refining thread 25:4 → 26:23 → 27:21, and a Hebrew antithesis count o
NEAR-MISS	Proverbs/dig-deeper-proverbs-sweep.md	1497	translit	kābēd	Prov 26:23	Prov 26:25	The solo run also adds material this sweep does not have: the *kābēd* Leitwort (nine occurrences, and the section's real subject), the four *petuchah* markers, the 25:2 ∥ 25:27 inclusio, the refining thread 25:4 → 26:23 → 27:21, and a Hebrew antithesis count o
NEAR-MISS	Proverbs/dig-deeper-proverbs-sweep.md	1497	translit	kābēd	Prov 27:21	Prov 26:1	The solo run also adds material this sweep does not have: the *kābēd* Leitwort (nine occurrences, and the section's real subject), the four *petuchah* markers, the 25:2 ∥ 25:27 inclusio, the refining thread 25:4 → 26:23 → 27:21, and a Hebrew antithesis count o
NEAR-MISS	Proverbs/dig-deeper-proverbs-sweep.md	1503	translit	kēn	Prov 25:13	Prov 24:2	the word "explicit" was wrong, and it matters.** Counted in the Hebrew, only **nine** of these comparisons carry a comparative particle (*kə-* and/or *kēn*): 25:13
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1536	translit	ʾĕwîl	Prov 27:3	126 cand	*ʾĕwîl* at 27:3, 22)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1555	translit	sîgîm	Prov 26:23	19 cand	**26:23** is a textual crux: ESV "like the glaze covering an earthen vessel" rests on a revocalisation of the MT's *kesep sîgîm* ("silver of dross"), commonly explained from a cognate word for glaze
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1607	translit	ḥāzôn	Isa 1:1	16 cand	"Where there is no prophetic vision (*ḥāzôn*) the people cast off restraint, but blessed is he who keeps the law." *Ḥāzôn* is the prophets' own word (Isa 1:1
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1607	translit	Ḥāzôn	Isa 1:1	16 cand	"Where there is no prophetic vision (*ḥāzôn*) the people cast off restraint, but blessed is he who keeps the law." *Ḥāzôn* is the prophets' own word (Isa 1:1
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1631	translit	pārûaʿ	Exod 32:25	31 cand	the word means *revelation*, the second line says "but blessed is he who keeps the law," and the verb rendered "perish" means "cast off restraint" (as at Exod 32:25, where the people are *pārûaʿ*
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1652	translit	ḥesed	Exod 34:6	15 cand	*Book usage:* Proverbs has drawn on the exodus/Sinai register only lightly (the *ḥesed weʾĕmet* of Exod 34:6 at 3:3, 14:22, 16:6, 20:28), which makes this a relatively cold allusion
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1652	translit	weʾĕmet	Exod 34:6	72 cand	*Book usage:* Proverbs has drawn on the exodus/Sinai register only lightly (the *ḥesed weʾĕmet* of Exod 34:6 at 3:3, 14:22, 16:6, 20:28), which makes this a relatively cold allusion
CONFIRMED-OFFSET	Proverbs/dig-deeper-proverbs-sweep.md	1654	translit	ḥāzôn	Exod 32:25	Exod 32:27	*OT-to-OT:* Exod 32:25 and the prophetic *ḥāzôn* texts (Isa 1:1
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1654	translit	ḥāzôn	Isa 1:1	16 cand	*OT-to-OT:* Exod 32:25 and the prophetic *ḥāzôn* texts (Isa 1:1
CONFIRMED	Proverbs/dig-deeper-proverbs-sweep.md	1685	heb	אכל	Prov 30:14	4 cand	> - **The section's subject is appetite**, carried by √אכל (30:14 → 17 → 20, one per paragraph across three paragraphs), √שׂבע (30:9, 15, 16, 22) and √שׁתה (31:4–7)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1685	heb	שׂבע	Prov 30:9	9 cand	> - **The section's subject is appetite**, carried by √אכל (30:14 → 17 → 20, one per paragraph across three paragraphs), √שׂבע (30:9, 15, 16, 22) and √שׁתה (31:4–7)
CONFIRMED	Proverbs/dig-deeper-proverbs-sweep.md	1685	heb	שׁתה	Prov 31:4-7	3 cand	> - **The section's subject is appetite**, carried by √אכל (30:14 → 17 → 20, one per paragraph across three paragraphs), √שׂבע (30:9, 15, 16, 22) and √שׁתה (31:4–7)
CONFIRMED	Proverbs/dig-deeper-proverbs-sweep.md	1686	heb	צרף	Prov 30:5	1 cand	> - **√צרף reaches its object at 30:5**
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1757	translit	tôrâ	Prov 29:18	211 cand	And it comes immediately after 29:18's *tôrâ* and *ḥāzôn*
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1757	translit	ḥāzôn	Prov 29:18	16 cand	And it comes immediately after 29:18's *tôrâ* and *ḥāzôn*
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1797	translit	yād	Prov 30:32	37 cand	> - **The mouth reverses across the marked seam.** *yād lə-peh*, "hand on your mouth" (30:32)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1797	translit	pətaḥ	Prov 31:8	21 cand	*pətaḥ pîkā … pətaḥ pîkā* (31:8, 9)
FAILED	Proverbs/dig-deeper-proverbs-sweep.md	1797	translit	pîkā	Prov 31:8	14 cand	*pətaḥ pîkā … pətaḥ pîkā* (31:8, 9)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1799	translit	məlākîn	Prov 31:3	89 cand	*bar* ×3 (31:2), *məlākîn* (31:3), *ʾal* for *lōʾ* (31:4)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1799	translit	ʾal	Prov 31:4	39 cand	*bar* ×3 (31:2), *məlākîn* (31:3), *ʾal* for *lōʾ* (31:4)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1799	translit	lōʾ	Prov 31:4	39 cand	*bar* ×3 (31:2), *məlākîn* (31:3), *ʾal* for *lōʾ* (31:4)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1897	translit	ḥayil	Prov 31:10	14 cand	31:10) the lexicographical tradition takes *ḥayil* as comprehensive excellence and renders it "virtuous"/"worthy" `[S: TWOT
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1898	translit	ʾēšet	Ruth 3:11	81 cand	and Ruth 3:11, where Boaz says of Ruth, "all my fellow townsmen know that you are a worthy woman (*ʾēšet ḥayil*)." *High confidence on the distribution
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1898	translit	ḥayil	Ruth 3:11	14 cand	and Ruth 3:11, where Boaz says of Ruth, "all my fellow townsmen know that you are a worthy woman (*ʾēšet ḥayil*)." *High confidence on the distribution
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	1933	translit	tôrâ	Prov 1:8	211 cand	She has a *tôrâ*, as the mother of 1:8 did
NEAR-MISS	Proverbs/dig-deeper-proverbs-sweep.md	1999	translit	ʾēšet	Prov 31:26	Prov 30:2	Four verses later the *ʾēšet ḥayil* "opens her mouth with wisdom" (31:26).
FAILED	Proverbs/dig-deeper-proverbs-sweep.md	1999	translit	ḥayil	Prov 31:26	14 cand	Four verses later the *ʾēšet ḥayil* "opens her mouth with wisdom" (31:26).
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2075	translit	ʾēšet	Prov 12:4	81 cand	27:15), and the *ʾēšet ḥayil* (12:4
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2075	translit	ḥayil	Prov 12:4	14 cand	27:15), and the *ʾēšet ḥayil* (12:4
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2077	translit	tôrat	Prov 31:26	211 cand	this woman has *tôrat ḥesed* on her tongue (31:26)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2077	translit	ḥesed	Prov 31:26	15 cand	this woman has *tôrat ḥesed* on her tongue (31:26)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2130	translit	pāraʿ	Exod 32:25	31 cand	"perish" (*pāraʿ*) means to cast off restraint, and is the word used of Israel running wild at the golden calf (Exod 32:25)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2157	translit	tôrâ	Prov 28:4	211 cand	the claim that absolute *tôrâ* occurs in 10–29 only at 28:4, 7, 9 and 29:18
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2157	translit	tôrâ	Prov 29:18	211 cand	the claim that absolute *tôrâ* occurs in 10–29 only at 28:4, 7, 9 and 29:18
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2164	translit	šĕlōmōh	Prov 10:1=22:16	116 cand	**The gematria claim** that 375 (the verse-count of 10:1–22:16) is the numerical value of *šĕlōmōh*
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2232	translit	ḥesed	Exod 34:6	15 cand	Exodus 34:6 (*ḥesed weʾĕmet*)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2232	translit	weʾĕmet	Exod 34:6	72 cand	Exodus 34:6 (*ḥesed weʾĕmet*)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2237	translit	pāraʿ	Exod 32:25	31 cand	Exodus 32:25 (*pāraʿ*, casting off restraint)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2238	translit	ʾēšet	Ruth 3:11	81 cand	Ruth 3:11 (*ʾēšet ḥayil*)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2238	translit	ḥayil	Ruth 3:11	14 cand	Ruth 3:11 (*ʾēšet ḥayil*)
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2265	translit	tôrâ	Prov 10:1	211 cand	which is why the verdicts above are able to *resist* Ansberry at the point where the text does not support him, and why the collection-boundary evidence adduced (the *tôrâ* distribution, the 10:1 ∥ 15:20 inclusio, the comparison-count) is text-derived rather t
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2265	translit	tôrâ	Prov 15:20	211 cand	which is why the verdicts above are able to *resist* Ansberry at the point where the text does not support him, and why the collection-boundary evidence adduced (the *tôrâ* distribution, the 10:1 ∥ 15:20 inclusio, the comparison-count) is text-derived rather t
FAILED	Proverbs/dig-deeper-proverbs-sweep.md	2267	translit	šāgâ	Prov 9:4	49 cand	all wording-dependent findings (the identical 9:4/9:16 invitations, the verbatim doublets, the 375-verse count, the ESV footnote data on *šāgâ*, *bar*, "sons of passing away", the textual-variant notes) rest on that text
FAILED	Proverbs/dig-deeper-proverbs-sweep.md	2267	translit	šāgâ	Prov 9:16	49 cand	all wording-dependent findings (the identical 9:4/9:16 invitations, the verbatim doublets, the 375-verse count, the ESV footnote data on *šāgâ*, *bar*, "sons of passing away", the textual-variant notes) rest on that text
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2277	translit	tôrâ	Prov 15:33	211 cand	the *tôrâ* distribution in 28–29, the YHWH cluster straddling the 15:33/16:1 seam, the 10:1 ∥ 15:20 inclusio, the 9:10 ∥ 30:3 inclusio, the comparison-count in 25–27, the mouth-thread's landing at 31:8–9
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2277	translit	tôrâ	Prov 16:1	211 cand	the *tôrâ* distribution in 28–29, the YHWH cluster straddling the 15:33/16:1 seam, the 10:1 ∥ 15:20 inclusio, the 9:10 ∥ 30:3 inclusio, the comparison-count in 25–27, the mouth-thread's landing at 31:8–9
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2277	translit	tôrâ	Prov 10:1	211 cand	the *tôrâ* distribution in 28–29, the YHWH cluster straddling the 15:33/16:1 seam, the 10:1 ∥ 15:20 inclusio, the 9:10 ∥ 30:3 inclusio, the comparison-count in 25–27, the mouth-thread's landing at 31:8–9
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2277	translit	tôrâ	Prov 15:20	211 cand	the *tôrâ* distribution in 28–29, the YHWH cluster straddling the 15:33/16:1 seam, the 10:1 ∥ 15:20 inclusio, the 9:10 ∥ 30:3 inclusio, the comparison-count in 25–27, the mouth-thread's landing at 31:8–9
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2277	translit	tôrâ	Prov 9:10	211 cand	the *tôrâ* distribution in 28–29, the YHWH cluster straddling the 15:33/16:1 seam, the 10:1 ∥ 15:20 inclusio, the 9:10 ∥ 30:3 inclusio, the comparison-count in 25–27, the mouth-thread's landing at 31:8–9
NEAR-MISS	Proverbs/dig-deeper-proverbs-sweep.md	2277	translit	tôrâ	Prov 30:3	Prov 30:2	the *tôrâ* distribution in 28–29, the YHWH cluster straddling the 15:33/16:1 seam, the 10:1 ∥ 15:20 inclusio, the 9:10 ∥ 30:3 inclusio, the comparison-count in 25–27, the mouth-thread's landing at 31:8–9
WEAK	Proverbs/dig-deeper-proverbs-sweep.md	2277	translit	tôrâ	Prov 31:8-9	211 cand	the *tôrâ* distribution in 28–29, the YHWH cluster straddling the 15:33/16:1 seam, the 10:1 ∥ 15:20 inclusio, the 9:10 ∥ 30:3 inclusio, the comparison-count in 25–27, the mouth-thread's landing at 31:8–9
WEAK	Proverbs/point-purpose-proverbs-1-1to7.md	88	translit	Rēʾšît	Num 18:12	61 cand	*"Start here, then move on to the deeper things."* ***Rēʾšît*** carries both the temporal sense and the sense of **chief part** (Num 18:12
FAILED	Proverbs/point-purpose-proverbs-1-1to7.md	88	heb	רֵאשִׁית	Prov 9:10	1 cand	the book distinguishes the two ideas rather than confusing them.* **✅ Confirmed against BHS, 21 August:** 1:7 reads **רֵאשִׁית**, 9:10 reads **תְּחִלַּת**
CONFIRMED	Proverbs/point-purpose-proverbs-1-1to7.md	88	heb	תְּחִלַּת	Prov 9:10	2 cand	the book distinguishes the two ideas rather than confusing them.* **✅ Confirmed against BHS, 21 August:** 1:7 reads **רֵאשִׁית**, 9:10 reads **תְּחִלַּת**
WEAK	Proverbs/point-purpose-proverbs-1-1to7.md	102	translit	ʿormâ	Gen 3:1	90 cand	***ʿormâ*** (v.4) shares its root with ***ʿārûm***, the serpent of Gen 3:1
WEAK	Proverbs/point-purpose-proverbs-1-1to7.md	102	translit	ʿārûm	Gen 3:1	109 cand	***ʿormâ*** (v.4) shares its root with ***ʿārûm***, the serpent of Gen 3:1
WEAK	Proverbs/point-purpose-proverbs-1-1to7.md	103	translit	mĕzimmâ	Prov 1:4	46 cand	***mĕzimmâ*** is positive throughout the frame (1:4
WEAK	Proverbs/point-purpose-proverbs-1-1to7.md	107	translit	ʿormâ	Prov 12:16	90 cand	*One precision from Stabnow worth having:* ***ʿormâ*** **and its adjective are always positive inside Proverbs** (12:16, 23
WEAK	Proverbs/point-purpose-proverbs-10-1to22-16.md	97	translit	tôʿēbâ	Prov 11:1	97 cand	the *tôʿēbâ* sayings beginning their run at 11:1 and 11:20
WEAK	Proverbs/point-purpose-proverbs-10-1to22-16.md	97	translit	tôʿēbâ	Prov 11:20	97 cand	the *tôʿēbâ* sayings beginning their run at 11:1 and 11:20
WEAK	Proverbs/point-purpose-proverbs-10-1to22-16.md	100	translit	ṣaddîq	Prov 16:1-9	23 cand	*ṣaddîq* at zero, YHWH at its maximum.** Land on 16:1–9 as the section's own centre of gravity, and on 16:2: *the LORD weighs the spirit.*
